area,convex_area,bbox_area,major_axis_length,minor_axis_length,perimeter,equivalent_diameter,mean_intensity,solidity,eccentricity,class
7566,11865,13860,164.8373851,75.34443326,1027.595021,98.1495308,0.552674655,0.637673831,0.889423836,Atopic Dermatitis
15987,23398,23754,269.63423,99.18560644,1197.636652,142.6719335,0.508125485,0.683263527,0.929884181,Atopic Dermatitis
1162,1476,2160,47.01674915,34.01378266,239.8650071,38.46432569,0.252121962,0.787262873,0.690387578,Atopic Dermatitis
1044,1925,3432,117.5210762,22.68349823,314.3147545,36.45904668,0.566124517,0.542337662,0.981195525,Atopic Dermatitis
5717,8814,11084,173.6922446,56.10047184,747.3218972,85.31770319,0.284050847,0.648627184,0.946403136,Atopic Dermatitis
4295,5337,7104,151.8019889,40.58769231,404.5218613,73.94973864,0.27437467,0.804759228,0.96359322,Atopic Dermatitis
3077,3880,5394,87.2711172,55.00124987,462.1431816,62.59199693,0.323304208,0.793041237,0.776405017,Atopic Dermatitis
20246,35282,65268,333.2393574,158.0312352,1699.052957,160.5553108,0.275923949,0.573833683,0.880402391,Atopic Dermatitis
1917,3497,5300,101.0944551,35.5010721,487.7594514,49.40445534,0.342137097,0.548184158,0.93631271,Atopic Dermatitis
14965,20827,34104,328.4749361,85.58296349,1167.653896,138.036335,0.202894904,0.718538436,0.965461326,Atopic Dermatitis
2593,2921,4433,147.307572,25.27048769,364.6812409,57.45876904,0.120998407,0.887709688,0.985175564,Atopic Dermatitis
20853,23308,26418,259.442542,111.4849013,838.0254326,162.9443593,0.259171209,0.894671357,0.902967233,Atopic Dermatitis
4654,5706,8880,204.0333256,37.14324056,456.0243866,76.97828812,0.211686785,0.815632667,0.983290206,Atopic Dermatitis
4763,14059,27084,280.9811297,74.70131498,871.5422433,77.87451413,0.333056079,0.338786542,0.964011972,Atopic Dermatitis
14919,18289,24642,260.8952679,83.73763932,755.8772004,137.824021,0.328352505,0.815736235,0.947091849,Atopic Dermatitis
15173,24051,29082,286.5437734,108.849255,1288.429545,138.9923149,0.368161229,0.630867739,0.925040066,Atopic Dermatitis
19489,36625,46398,283.3885955,143.8680113,4155.317205,157.5251265,0.311813871,0.532122867,0.861551351,Atopic Dermatitis
2048,3500,4189,76.42551312,55.96208582,504.8122292,51.06461189,0.310608,0.585142857,0.68104291,Atopic Dermatitis
1668,2172,2720,72.8391415,38.11065406,262.8172798,46.08430927,0.182886709,0.767955801,0.852199684,Atopic Dermatitis
13732,20706,26754,362.4099328,65.17595542,919.1970055,132.2275517,0.349252886,0.663189414,0.983695798,Atopic Dermatitis
14721,39160,44622,316.3904638,173.9741572,1453.891486,136.906389,0.23340323,0.375919305,0.835249143,Atopic Dermatitis
8647,12255,22185,256.8247652,60.46600101,933.9554108,104.9271287,0.332865336,0.705589555,0.971889661,Atopic Dermatitis
3324,5767,7956,185.7255853,39.08582557,613.3685784,65.05573185,0.467032119,0.576382868,0.977604766,Atopic Dermatitis
31100,37764,42336,344.6136422,125.8456032,1485.453932,198.9918336,0.311312851,0.823535642,0.930937393,Atopic Dermatitis
19298,31602,41160,363.3454273,87.6304264,1781.301695,156.7513213,0.325956988,0.610657553,0.970481237,Atopic Dermatitis
8266,10010,12642,326.4095258,38.44612268,795.3036072,102.5894638,0.298160769,0.825774226,0.993039128,Atopic Dermatitis
6207,6714,11096,152.76941,59.36508457,448.0365799,88.89880682,0.286316037,0.924486148,0.921409614,Atopic Dermatitis
1234,1509,2808,66.92111815,31.65458785,192.118795,39.63808268,0.102745742,0.817760106,0.881055215,Atopic Dermatitis
2707,2910,5312,90.97799442,46.82227472,255.8172798,58.70825706,0.077444139,0.93024055,0.857397392,Atopic Dermatitis
1939,3127,4094,89.89045714,36.63789865,460.1848122,49.68713593,0.466118513,0.620083147,0.913167786,Atopic Dermatitis
1836,2290,2856,54.19219568,51.99357132,361.1015511,48.34943437,0.465532288,0.801746725,0.281949887,Atopic Dermatitis
2288,3265,6216,107.6721417,37.83240778,328.7878426,53.97380919,0.249380031,0.700765697,0.93623791,Atopic Dermatitis
9915,10896,12348,341.9011304,39.89356339,699.0660172,112.3573321,0.092484992,0.90996696,0.993169376,Atopic Dermatitis
1836,2109,2730,64.01203679,38.08257177,231.6162697,48.34943437,0.478676403,0.870554765,0.803778779,Atopic Dermatitis
1825,3014,5888,110.0909948,34.88210545,353.4629868,48.20437915,0.325558721,0.605507631,0.948476346,Atopic Dermatitis
2602,3907,7316,107.6042507,47.2248447,340.5512986,57.558399,0.337398222,0.665984131,0.898547993,Atopic Dermatitis
14093,27930,44100,374.7597744,103.1115139,850.6934342,133.9543389,0.006845592,0.504582886,0.961404088,Atopic Dermatitis
24157,26766,36162,329.7998526,104.3342466,859.3624817,175.3785839,0.322955451,0.902525592,0.948640458,Atopic Dermatitis
26594,29489,30576,345.1118767,105.6133132,865.9127343,184.012316,0.45426271,0.9018278,0.952023056,Atopic Dermatitis
11719,17541,32190,232.5918844,81.25702912,752.9371209,122.1519309,0.229008327,0.668091899,0.936990614,Atopic Dermatitis
1260,1319,2100,62.23119283,29.45409246,170.8050865,40.05348707,0.193639848,0.955269143,0.880900711,Atopic Dermatitis
1870,2164,2415,114.6571333,22.53231094,265.882251,48.7950607,0.373479523,0.864140481,0.980500007,Atopic Dermatitis
20125,22544,34188,234.3935982,128.0207439,793.9432175,160.0748133,0.266695118,0.892698722,0.837668816,Atopic Dermatitis
14746,15953,16428,258.9885015,77.70472259,606.9533188,137.0225906,0.250807486,0.924340249,0.953929278,Atopic Dermatitis
3386,10427,14874,330.8967343,39.56899763,680.5462479,65.65964589,0.313457481,0.324733864,0.992824435,Atopic Dermatitis
4395,10365,16206,286.5497209,56.71959975,682.155375,74.80566689,0.349390515,0.424023155,0.980214175,Atopic Dermatitis
1001,1914,2806,58.5158426,32.69740796,374.7056275,35.70031911,0.404240341,0.522988506,0.829316788,Atopic Dermatitis
20054,29342,41736,246.707895,170.2363634,1477.360569,159.7921958,0.319788009,0.68345716,0.723778779,Atopic Dermatitis
3755,6209,8436,277.1832203,28.02125898,516.9533188,69.14488044,0.05217085,0.604767273,0.994876989,Atopic Dermatitis
7257,8531,12432,249.055656,45.84169933,534.8467171,96.12439532,0.009567757,0.85066229,0.982914622,Atopic Dermatitis
13921,14817,17094,249.756896,75.23865418,571.882251,133.1343971,0.394493014,0.939528919,0.953545967,Atopic Dermatitis
18301,29764,39960,242.4196891,164.809129,1603.679328,152.648475,0.380402864,0.614870313,0.733350801,Atopic Dermatitis
3620,5998,10212,210.0387482,29.01476482,654.3868684,67.89055274,0.215145191,0.603534512,0.990412704,Atopic Dermatitis
11427,12660,14430,251.0227662,61.38917584,660.7056275,120.6205135,0.168517243,0.902606635,0.969635118,Atopic Dermatitis
1277,1690,2209,47.59232511,37.56653108,237.5512986,40.32278387,0.45058141,0.755621302,0.613956181,Atopic Dermatitis
5255,12115,22102,248.6149758,60.6826491,646.2091988,81.79776163,0.096342294,0.433759802,0.969754385,Atopic Dermatitis
18726,21223,25284,345.8568965,76.3300938,758.4091629,154.4107629,0.089189378,0.882344626,0.975342082,Atopic Dermatitis
23767,33973,40572,371.476579,129.011584,1084.677236,173.9571334,0.068537386,0.699584965,0.937756303,Atopic Dermatitis
5071,6665,11659,144.6447076,62.99143191,560.8355698,80.3529572,0.438818433,0.76084021,0.900193206,Atopic Dermatitis
1277,1545,1938,57.12622204,31.86253877,240.6518036,40.32278387,0.413868237,0.826537217,0.830004429,Atopic Dermatitis
4268,5180,6798,103.951372,55.52193155,476.6883835,73.71693413,0.411104867,0.823938224,0.84541217,Atopic Dermatitis
9360,9874,11322,234.8129591,53.15340954,567.2081528,109.1674042,0.045772036,0.947944096,0.974042574,Atopic Dermatitis
1260,1676,2610,55.97310679,33.03375856,263.9716088,40.05348707,0.214869931,0.751789976,0.807277554,Atopic Dermatitis
2038,2713,3248,66.75453877,47.01377672,351.0365799,50.93978987,0.583255379,0.751197936,0.709923939,Atopic Dermatitis
28373,45671,51948,262.701642,237.1815535,1720.708766,190.0674238,0.262337381,0.621247619,0.42994467,Atopic Dermatitis
9970,10968,12642,341.9701888,40.14157281,694.6518036,112.6685327,0.093543359,0.909008023,0.993086689,Atopic Dermatitis
7663,8829,10878,258.443438,42.10123133,603.4213562,98.77669073,0.093404825,0.867935214,0.986642077,Atopic Dermatitis
6337,13222,18768,216.7992096,75.92105529,1530.235677,89.82493526,0.492798234,0.479276963,0.936678446,Atopic Dermatitis
10477,17849,29304,237.1577432,92.16627715,1434.738203,115.497752,0.394472878,0.586979663,0.921394501,Atopic Dermatitis
15215,19846,25752,261.8181786,105.9955416,1168.683333,139.1845526,0.104332552,0.76665323,0.914385731,Atopic Dermatitis
1036,1350,1794,47.81063991,35.81368495,210.4680374,36.31908821,0.651309818,0.767407407,0.662486862,Atopic Dermatitis
18757,21314,25578,345.9588297,76.47447997,758.1665222,154.5385199,0.089649658,0.880031904,0.975262292,Atopic Dermatitis
1113,2260,4278,135.6539658,20.68432777,353.0365799,37.64459607,0.564966275,0.492477876,0.988306771,Atopic Dermatitis
12934,37063,65268,403.3730919,105.4109271,1299.915872,128.3280183,0.300298576,0.34897337,0.965251238,Atopic Dermatitis
1504,1952,3290,66.06546677,32.57864103,335.25588,43.76016768,0.3896189,0.770491803,0.869957543,Atopic Dermatitis
2556,2666,4950,90.22206118,43.28311171,260.3319985,57.04735118,0.115011014,0.958739685,0.877410818,Atopic Dermatitis
2572,4486,7956,159.9887273,33.888631,453.001046,57.22562458,0.5334672,0.573339278,0.977308942,Atopic Dermatitis
1673,1762,2397,51.9666194,44.27034487,179.7756493,46.15332879,0.378001236,0.949489217,0.523705057,Atopic Dermatitis
2329,3042,4257,92.00659816,38.02401746,368.7584053,54.45525594,0.374714805,0.765614727,0.910606314,Atopic Dermatitis
9286,14701,22791,212.6869898,89.31292697,965.4467889,108.7350101,0.376383232,0.63165771,0.907558065,Atopic Dermatitis
8070,23208,34854,269.42759,111.9683342,1227.229581,101.3658874,0.183255508,0.347724922,0.909557281,Atopic Dermatitis
9289,19163,23088,306.1121318,87.84846355,877.0081887,108.752573,0.124745746,0.48473621,0.957936179,Atopic Dermatitis
5145,8148,16385,133.6172871,65.61633255,507.2203461,80.93712039,0.067034457,0.631443299,0.871116354,Atopic Dermatitis
3778,4653,5130,130.3025818,40.23223267,466.0071427,69.35631911,0.119265432,0.81194928,0.951139962,Atopic Dermatitis
15759,16023,28420,206.1173501,113.0882622,609.2975106,141.6509159,0.049104711,0.983523685,0.83604584,Atopic Dermatitis
23178,34238,43512,257.9903837,184.3827309,1553.572727,171.7880851,0.433437749,0.676967113,0.699443001,Atopic Dermatitis
2484,3096,4048,85.63625747,40.00910665,338.7523087,56.23812789,0.506803273,0.802325581,0.884152604,Atopic Dermatitis
10435,13709,15943,159.3071983,95.81051811,827.4640328,115.2660169,0.486046668,0.761178788,0.798933109,Atopic Dermatitis
1651,2584,4284,84.04037185,30.02297707,303.5218613,45.84886573,0.403155197,0.638931889,0.934010828,Atopic Dermatitis
1430,1819,2263,70.15033229,30.39383201,313.1492783,42.67004276,0.319715901,0.786146234,0.901265559,Atopic Dermatitis
1074,1327,2016,46.96165289,31.78940223,196.8294731,36.97917348,0.320674303,0.809344386,0.736054244,Atopic Dermatitis
1574,1976,2530,51.54739261,41.24073437,307.2203461,44.76694141,0.358942502,0.796558704,0.599927043,Atopic Dermatitis
1155,1418,2052,49.60105427,33.57821533,227.4802307,38.34829428,0.314990255,0.814527504,0.736014512,Atopic Dermatitis
1759,3268,5037,86.51216668,63.23769409,397.3685784,47.32471193,0.316217032,0.538249694,0.68241089,Atopic Dermatitis
6331,12647,17640,334.6986534,54.53063613,985.6833329,89.78240116,0.333472417,0.500593026,0.986638527,Atopic Dermatitis
5705,6458,11926,175.7416141,48.31180556,443.0243866,85.2281151,0.12306138,0.883400434,0.961472114,Atopic Dermatitis
5215,8972,16198,162.8042088,63.00338445,504.8416665,81.48585292,0.107017378,0.581252786,0.922084469,Atopic Dermatitis
5212,8871,16878,162.2212694,63.34034691,526.0965005,81.46241162,0.119143006,0.587532409,0.920621384,Atopic Dermatitis
13302,36995,64602,327.5702896,144.9788248,1372.915872,130.1408177,0.373143726,0.359562103,0.896724857,Atopic Dermatitis
4464,6996,9918,179.8423063,47.25198743,796.0447686,75.39059177,0.440368535,0.638078902,0.964866338,Atopic Dermatitis
20140,25391,33522,228.5280269,130.9991001,1305.94531,160.1344574,0.252171707,0.793194439,0.819394576,Atopic Dermatitis
10654,14456,16170,347.3109965,46.57672234,1091.417352,116.469284,0.436416338,0.736995019,0.990966902,Atopic Dermatitis
25554,41025,51744,234.150876,207.5078425,1682.312842,180.3783893,0.403415737,0.622888483,0.463275627,Atopic Dermatitis
10211,11428,22763,236.7824722,61.9177684,613.0315293,114.0221425,0.067842066,0.893507175,0.965204446,Atopic Dermatitis
1700,1843,3204,86.83731922,29.82214994,229.9472222,46.52426492,0.318762781,0.922409116,0.939179921,Atopic Dermatitis
7087,8071,9880,103.0507061,93.94643799,539.747258,94.99183467,0.496488882,0.878082022,0.410961855,Atopic Dermatitis
1906,2188,3360,61.26985366,44.71927266,242.7817459,49.26250676,0.324236526,0.871115174,0.683581711,Atopic Dermatitis
2760,3928,6048,93.11006434,46.92794139,553.3158005,59.28019183,0.729267877,0.702647658,0.863700714,Atopic Dermatitis
4361,4456,5986,92.34501829,64.75270745,284.5391052,74.51575441,0.052581773,0.978680431,0.712960574,Atopic Dermatitis
5151,5567,9040,114.4507885,64.79165011,369.1665222,80.9843003,0.310312257,0.925273936,0.824330223,Atopic Dermatitis
1646,1828,3519,71.47595622,36.84938044,207.0538239,45.77938718,0.513030314,0.900437637,0.856859908,Atopic Dermatitis
1306,1896,3216,66.43313595,34.62769236,283.0660172,40.77806819,0.451318826,0.688818565,0.85340936,Atopic Dermatitis
11159,19203,27342,359.0225837,64.73032081,1007.416306,119.1976513,0.378760252,0.581107119,0.983612407,Atopic Dermatitis
16882,35816,63504,373.2129436,171.8587639,1653.78593,146.6111524,0.304858591,0.471353585,0.887667761,Atopic Dermatitis
2448,3436,6496,113.5321461,38.70950044,346.6812409,55.8291179,0.376075476,0.712456345,0.940079146,Atopic Dermatitis
2044,2507,4810,81.20072595,42.42483618,266.4030663,51.01471973,0.302236876,0.815317112,0.852658476,Atopic Dermatitis
1739,2789,3808,145.0509367,21.77319397,386.8061325,47.05489951,0.342887683,0.623520975,0.988669723,Atopic Dermatitis
1540,3923,5936,126.2441909,48.21032143,426.9543648,44.28079605,0.250568141,0.392556717,0.924211295,Atopic Dermatitis
5238,6984,9975,146.8748687,58.05604751,564.0731599,81.66534599,0.283260759,0.75,0.918562585,Atopic Dermatitis
18517,49396,49980,430.0778123,148.128575,1205.606168,153.5466595,0.210438263,0.37486841,0.938814668,Atopic Dermatitis
4101,4980,7222,124.6669201,46.63151211,419.527958,72.26033056,0.327361335,0.823493976,0.927409022,Atopic Dermatitis
2688,3369,3784,95.72337107,39.33540477,295.273124,58.50186233,0.468778445,0.797862867,0.911667841,Atopic Dermatitis
11033,28535,34986,350.1893609,100.7088069,1467.578823,118.5227906,0.488994899,0.386647976,0.957755462,Atopic Dermatitis
1210,1819,2600,63.83202131,32.50401969,350.4985207,39.25073056,0.499533374,0.66520066,0.860641228,Atopic Dermatitis
2824,5768,9118,107.4317167,58.87544223,461.2386361,59.96355955,0.529340544,0.489597781,0.836460882,Atopic Dermatitis
4466,5061,7200,127.3880346,50.3923553,388.3797257,75.40747845,0.105193471,0.882434302,0.918430859,Atopic Dermatitis
16305,43569,61446,405.2961713,182.5858967,1399.228535,144.0839019,0.229158152,0.374233974,0.892776463,Atopic Dermatitis
2834,4881,6086,195.338535,26.92159778,449.6051224,60.06963351,0.242613508,0.580618726,0.990457263,Atopic Dermatitis
15949,46677,51156,395.7237129,155.3648862,1149.837662,142.5022719,0.185798574,0.341688626,0.919705271,Atopic Dermatitis
1410,2770,4575,189.0185714,19.34217277,462.7117241,42.37060016,0.234252015,0.509025271,0.99475056,Atopic Dermatitis
14428,26166,41160,329.2762319,95.96159169,1057.464033,135.5370804,0.164695033,0.551402584,0.956591584,Atopic Dermatitis
10629,17045,24816,189.9395637,111.2073986,799.5168107,116.332554,0.08915806,0.623584629,0.810680832,Atopic Dermatitis
1134,1313,2220,72.73577431,24.63421274,216.2903679,37.99807421,0.204177229,0.863670982,0.940901319,Atopic Dermatitis
3058,4474,8480,105.4870388,55.75138561,361.9533188,62.39844972,0.228558165,0.683504694,0.848924534,Atopic Dermatitis
6043,10221,18306,162.8338417,76.87015012,671.0254326,87.71651252,0.077326438,0.591233734,0.881557192,Atopic Dermatitis
7490,11485,22350,163.4449221,84.81148234,614.3563851,97.65533365,0.063929351,0.652154985,0.854835275,Atopic Dermatitis
5805,8387,16640,139.1897738,74.21535805,531.6345597,85.97183002,0.054663651,0.692142602,0.84599207,Atopic Dermatitis
1652,2571,3296,227.2325221,10.93411213,475.4274529,45.8627488,0.136687266,0.642551536,0.998841629,Atopic Dermatitis
1452,2707,3591,68.32156907,52.6511802,328.527958,42.99702105,0.346482769,0.536387144,0.637273458,Atopic Dermatitis
26294,48202,55860,379.5782822,139.8683871,2036.852993,182.9714748,0.368187861,0.545496038,0.929634233,Atopic Dermatitis
1762,3048,5376,86.73505249,42.80304537,300.8172798,47.36505123,0.370241981,0.57808399,0.869750395,Atopic Dermatitis
2493,3820,4536,173.5296687,24.53561163,521.0132393,56.33991644,0.393721466,0.652617801,0.989953765,Atopic Dermatitis
11577,17865,26640,248.5010041,91.33816734,1163.944264,121.4096133,0.41900157,0.648026868,0.93000118,Atopic Dermatitis
8861,15568,20904,212.3071422,83.9718272,1616.361615,106.2175861,0.356727827,0.56918037,0.918457148,Atopic Dermatitis
1203,1622,2244,43.87715448,41.77849662,258.0304833,39.1370307,0.418359557,0.741676942,0.305569762,Atopic Dermatitis
6003,11877,15318,264.5621037,50.12687611,817.4102089,87.42572269,0.304342545,0.505430664,0.981886296,Atopic Dermatitis
6154,12931,22680,238.4891156,77.7975013,1009.819372,88.51845095,0.2606806,0.475910602,0.945297375,Atopic Dermatitis
3224,4537,6150,141.7039077,31.95105251,539.4934701,64.0696831,0.318269404,0.710601719,0.97424836,Atopic Dermatitis
4480,6483,8019,101.1842417,79.39629907,850.0325753,75.52557951,0.40511557,0.6910381,0.619912944,Atopic Dermatitis
1409,2216,3885,89.8529797,24.46264871,318.9949494,42.35557246,0.387789111,0.635830325,0.962226001,Atopic Dermatitis
8132,11159,11918,231.9065566,53.27668913,631.9066376,101.754528,0.353387746,0.728739134,0.97325359,Atopic Dermatitis
4215,22138,42180,243.1616684,145.6722064,827.6761902,73.25779604,0.082750701,0.190396603,0.800692515,Atopic Dermatitis
1005,1025,1408,63.52212072,21.9569497,153.491378,35.7715773,0.067312925,0.980487805,0.938360445,Atopic Dermatitis
1152,1175,1682,59.49316417,27.01124824,153.5624458,38.29845892,0.054608763,0.980425532,0.890990106,Atopic Dermatitis
1566,2454,3397,65.91246174,45.06124395,402.1787156,44.65303044,0.491767291,0.638141809,0.729807335,Atopic Dermatitis
9706,13506,13674,182.2709424,78.98511361,875.3046533,111.1668252,0.461660581,0.718643566,0.901230983,Atopic Dermatitis
1151,1889,2450,56.25637362,43.86392707,366.8650071,38.28183271,0.608986578,0.609317099,0.626134835,Atopic Dermatitis
15175,18497,26166,329.7587556,69.71507904,1033.055916,139.0014751,0.57395058,0.820403309,0.977396957,Atopic Dermatitis
